nohup: input ignorato
Totale job: 150  |  Core: 32  |  Ring: small
  done: tmem=0 seed=55
  done: tmem=0 seed=123
  done: tmem=0 seed=42
  done: tmem=0 seed=66
  done: tmem=0 seed=44
  done: tmem=5000 seed=99
  done: tmem=5000 seed=123
  done: tmem=10000 seed=99
  done: tmem=0 seed=777
  done: tmem=5000 seed=42
  done: tmem=0 seed=111
  done: tmem=0 seed=88
  done: tmem=0 seed=99
  done: tmem=10000 seed=66
  done: tmem=5000 seed=77
  done: tmem=5000 seed=111
  done: tmem=20000 seed=42
  done: tmem=5000 seed=66
  done: tmem=5000 seed=44
  done: tmem=10000 seed=77
  done: tmem=0 seed=77
  done: tmem=5000 seed=777
  done: tmem=10000 seed=44
  done: tmem=10000 seed=42
  done: tmem=10000 seed=88
  done: tmem=20000 seed=123
  done: tmem=10000 seed=111
  done: tmem=10000 seed=123
  done: tmem=5000 seed=55
  done: tmem=10000 seed=777
  done: tmem=5000 seed=88
  done: tmem=10000 seed=55
  done: tmem=20000 seed=777
  done: tmem=20000 seed=44
  done: tmem=20000 seed=77
  done: tmem=20000 seed=66
  done: tmem=20000 seed=55
  done: tmem=30000 seed=42
  done: tmem=40000 seed=55
  done: tmem=40000 seed=42
  done: tmem=40000 seed=123
  done: tmem=40000 seed=77
  done: tmem=40000 seed=66
  done: tmem=30000 seed=777
  done: tmem=20000 seed=88
  done: tmem=30000 seed=123
  done: tmem=20000 seed=111
  done: tmem=40000 seed=777
  done: tmem=30000 seed=77
  done: tmem=20000 seed=99
  done: tmem=40000 seed=88
  done: tmem=30000 seed=44
  done: tmem=50000 seed=777
  done: tmem=30000 seed=66
  done: tmem=30000 seed=55
  done: tmem=40000 seed=44
  done: tmem=40000 seed=99
  done: tmem=30000 seed=111
  done: tmem=40000 seed=111
  done: tmem=30000 seed=88
  done: tmem=50000 seed=42
  done: tmem=50000 seed=44
  done: tmem=50000 seed=123
  done: tmem=30000 seed=99
  done: tmem=50000 seed=55
  done: tmem=50000 seed=77
  done: tmem=50000 seed=66
  done: tmem=60000 seed=42
  done: tmem=50000 seed=99
  done: tmem=50000 seed=111
  done: tmem=50000 seed=88
  done: tmem=60000 seed=777
  done: tmem=60000 seed=111
  done: tmem=60000 seed=55
  done: tmem=60000 seed=66
  done: tmem=80000 seed=777
  done: tmem=60000 seed=88
  done: tmem=60000 seed=123
  done: tmem=60000 seed=77
  done: tmem=80000 seed=77
  done: tmem=80000 seed=123
  done: tmem=60000 seed=99
  done: tmem=80000 seed=111
  done: tmem=80000 seed=44
  done: tmem=80000 seed=55
  done: tmem=80000 seed=66
  done: tmem=80000 seed=42
  done: tmem=60000 seed=44
  done: tmem=80000 seed=99
  done: tmem=80000 seed=88
  done: tmem=100000 seed=42
  done: tmem=100000 seed=777
  done: tmem=100000 seed=55
  done: tmem=100000 seed=44
  done: tmem=100000 seed=123
  done: tmem=100000 seed=66
  done: tmem=100000 seed=77
  done: tmem=100000 seed=99
  done: tmem=100000 seed=88
  done: tmem=120000 seed=55
  done: tmem=120000 seed=44
  done: tmem=100000 seed=111
  done: tmem=120000 seed=123
  done: tmem=120000 seed=66
  done: tmem=120000 seed=77
  done: tmem=140000 seed=777
  done: tmem=120000 seed=88
  done: tmem=120000 seed=111
  done: tmem=120000 seed=777
  done: tmem=120000 seed=99
  done: tmem=140000 seed=55
  done: tmem=140000 seed=44
  done: tmem=140000 seed=88
  done: tmem=140000 seed=99
  done: tmem=140000 seed=42
  done: tmem=140000 seed=77
  done: tmem=160000 seed=777
  done: tmem=120000 seed=42
  done: tmem=140000 seed=123
  done: tmem=140000 seed=66
  done: tmem=160000 seed=123
  done: tmem=160000 seed=42
  done: tmem=140000 seed=111
  done: tmem=160000 seed=55
  done: tmem=160000 seed=66
  done: tmem=160000 seed=44
  done: tmem=160000 seed=77
  done: tmem=160000 seed=88
  done: tmem=200000 seed=111
  done: tmem=160000 seed=99
  done: tmem=180000 seed=99
  done: tmem=200000 seed=44
  done: tmem=180000 seed=44
  done: tmem=160000 seed=111
  done: tmem=180000 seed=42
  done: tmem=180000 seed=777
  done: tmem=200000 seed=99
  done: tmem=200000 seed=55
  done: tmem=200000 seed=123
  done: tmem=180000 seed=55
  done: tmem=180000 seed=123
  done: tmem=200000 seed=777
  done: tmem=180000 seed=88
  done: tmem=180000 seed=111
  done: tmem=180000 seed=77
  done: tmem=200000 seed=66
  done: tmem=200000 seed=77
  done: tmem=200000 seed=88
  done: tmem=200000 seed=42
  done: tmem=180000 seed=66
Completate tutte le simulazioni → logs_exp_smallring
